"taxon_a"	"taxon_b"	"family"	"age"	"distance"	"qtaxid"	"staxid"	"N"
"90"	"Drosophila ananassae"	"Drosophila sechellia"	"Drosophila"	"44.2"	0.361123062661942	"7217"	"7238"	14961
"91"	"Drosophila ananassae"	"Drosophila simulans"	"Drosophila"	"44.2"	0.383471380849384	"7217"	"7240"	14957
"92"	"Drosophila ananassae"	"Drosophila virilis"	"Drosophila"	"39.2"	0.462942749767313	"7217"	"7244"	14950
"93"	"Drosophila ananassae"	"Drosophila willistoni"	"Drosophila"	"49.3"	0.451311964962681	"7217"	"7260"	14943
"94"	"Drosophila ananassae"	"Drosophila yakuba"	"Drosophila"	"44.2"	0.352614093518994	"7217"	"7245"	14956
"95"	"Drosophila simulans"	"Drosophila ananassae"	"Drosophila"	"44.2"	0.369939570479119	"7240"	"7217"	15333
"96"	"Drosophila simulans"	"Drosophila erecta"	"Drosophila"	"12.8"	0.193959166455625	"7240"	"7220"	15345
"97"	"Drosophila simulans"	"Drosophila grimshawi"	"Drosophila"	"39.2"	0.492096382069071	"7240"	"7222"	15325
"98"	"Drosophila simulans"	"Drosophila melanogaster"	"Drosophila"	"2.3"	0.132856734733579	"7240"	"7227"	15299
"99"	"Drosophila simulans"	"Drosophila mojavensis"	"Drosophila"	"39.2"	0.486243007107291	"7240"	"7230"	15334
"100"	"Drosophila simulans"	"Drosophila persimilis"	"Drosophila"	"24.9"	0.429937953089867	"7240"	"7234"	15333
"101"	"Drosophila simulans"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"24.9"	0.418275202459545	"7240"	"46245"	15332
"102"	"Drosophila simulans"	"Drosophila virilis"	"Drosophila"	"39.2"	0.475698322780788	"7240"	"7244"	15329
"103"	"Drosophila simulans"	"Drosophila willistoni"	"Drosophila"	"49.3"	0.465299034028779	"7240"	"7260"	15331
"104"	"Drosophila simulans"	"Drosophila yakuba"	"Drosophila"	"4.9"	0.189734010812931	"7240"	"7245"	15344
"105"	"Drosophila willistoni"	"Drosophila ananassae"	"Drosophila"	"49.3"	0.461235095693958	"7260"	"7217"	15419
"106"	"Drosophila willistoni"	"Drosophila erecta"	"Drosophila"	"49.3"	0.465323857487747	"7260"	"7220"	15423
"107"	"Drosophila willistoni"	"Drosophila grimshawi"	"Drosophila"	"39.2"	0.488425713402462	"7260"	"7222"	15413
"108"	"Drosophila willistoni"	"Drosophila melanogaster"	"Drosophila"	"49.3"	0.46530533753155	"7260"	"7227"	15328
"109"	"Drosophila willistoni"	"Drosophila mojavensis"	"Drosophila"	"39.2"	0.478380267187468	"7260"	"7230"	15413
"110"	"Drosophila willistoni"	"Drosophila persimilis"	"Drosophila"	"49.3"	0.464209425370333	"7260"	"7234"	15420
"111"	"Drosophila willistoni"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"49.3"	0.455192938531523	"7260"	"46245"	15417
"112"	"Drosophila willistoni"	"Drosophila sechellia"	"Drosophila"	"49.3"	0.470714290096738	"7260"	"7238"	15416
"113"	"Drosophila willistoni"	"Drosophila simulans"	"Drosophila"	"49.3"	0.487746974408545	"7260"	"7240"	15429
"114"	"Drosophila willistoni"	"Drosophila virilis"	"Drosophila"	"39.2"	0.468728304236343	"7260"	"7244"	15409
"115"	"Drosophila willistoni"	"Drosophila yakuba"	"Drosophila"	"49.3"	0.460147194535481	"7260"	"7245"	15421
"116"	"Drosophila erecta"	"Drosophila ananassae"	"Drosophila"	"44.2"	0.362243839408285	"7220"	"7217"	14866
"117"	"Drosophila erecta"	"Drosophila grimshawi"	"Drosophila"	"39.2"	0.486244004374317	"7220"	"7222"	14843
"118"	"Drosophila erecta"	"Drosophila melanogaster"	"Drosophila"	"12.8"	0.184322953787928	"7220"	"7227"	14780
"119"	"Drosophila erecta"	"Drosophila mojavensis"	"Drosophila"	"39.2"	0.479914398278335	"7220"	"7230"	14847
"120"	"Drosophila erecta"	"Drosophila persimilis"	"Drosophila"	"24.9"	0.422246762721677	"7220"	"7234"	14864
"121"	"Drosophila erecta"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"24.9"	0.412715478443758	"7220"	"46245"	14864
"122"	"Drosophila erecta"	"Drosophila simulans"	"Drosophila"	"12.8"	0.213463950612575	"7220"	"7240"	14868
"123"	"Drosophila erecta"	"Drosophila virilis"	"Drosophila"	"39.2"	0.469297977361223	"7220"	"7244"	14852
"124"	"Drosophila erecta"	"Drosophila willistoni"	"Drosophila"	"49.3"	0.458845593481159	"7220"	"7260"	14853
"125"	"Drosophila erecta"	"Drosophila yakuba"	"Drosophila"	"10.4"	0.159054494917831	"7220"	"7245"	14874
"126"	"Drosophila virilis"	"Drosophila ananassae"	"Drosophila"	"39.2"	0.451297056741001	"7244"	"7217"	14430
"127"	"Drosophila virilis"	"Drosophila erecta"	"Drosophila"	"39.2"	0.454143197682213	"7244"	"7220"	14439
"128"	"Drosophila virilis"	"Drosophila grimshawi"	"Drosophila"	"32.2"	0.344385189860299	"7244"	"7222"	14416
"129"	"Drosophila virilis"	"Drosophila melanogaster"	"Drosophila"	"39.2"	0.451313207061823	"7244"	"7227"	14340
"130"	"Drosophila virilis"	"Drosophila mojavensis"	"Drosophila"	"18.5"	0.310200145916285	"7244"	"7230"	14423
"131"	"Drosophila virilis"	"Drosophila persimilis"	"Drosophila"	"39.2"	0.454640314748267	"7244"	"7234"	14429
"132"	"Drosophila virilis"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"39.2"	0.443089770790469	"7244"	"46245"	14419
"133"	"Drosophila virilis"	"Drosophila sechellia"	"Drosophila"	"39.2"	0.458155380623961	"7244"	"7238"	14432
"134"	"Drosophila virilis"	"Drosophila simulans"	"Drosophila"	"39.2"	0.480700800833636	"7244"	"7240"	14434
"135"	"Drosophila virilis"	"Drosophila willistoni"	"Drosophila"	"39.2"	0.44728200563375	"7244"	"7260"	14422
"136"	"Drosophila virilis"	"Drosophila yakuba"	"Drosophila"	"39.2"	0.45157049033825	"7244"	"7245"	14431
"137"	"Drosophila sechellia"	"Drosophila ananassae"	"Drosophila"	"44.2"	0.366321067801254	"7238"	"7217"	16118
"138"	"Drosophila sechellia"	"Drosophila grimshawi"	"Drosophila"	"39.2"	0.48685922738187	"7238"	"7222"	16104
